"name","lat","lon"
"Hogar del Jubilado",39.628152,-0.599425
"Pabellón nuevo",39.632339,-0.593144
"Pabellón viejo",39.6329251640232,-0.59353128969285
"Campo fútbol 'El Cano'",39.639209,-0.592603
"Biblioteca municipal",39.6260573582056,-0.60032588112523
"Edificio adm. Altos mercado",39.624673,-0.595317
"Museo Arqueológico",39.6257642,-0.593731
"Espai Jove",39.6260913,-0.5924458
"Edificio Omic",39.626024,-0.594644
"Edificio Oficina Rehabilitaciónde viviendas",39.625382,-0.594275
"Ca la Vila Vella",39.625608,-0.594303
"Museo forn la villa  vella",39.625202,-0.594274
"Archivo municipal/antiguoRetén",39.624845,-0.594543
"Centro Ocupacional El Prat",39.650307,-0.567101
"Edificio Antiguo Polícia Local",39.634632,-0.590923
"Trinquet municipal",39.6340809,-0.59135
"Escuela Taller Laurona",39.650307,-0.567101
"Escuela de Danza Municipal",39.624343,-0.590926
"Conservatorio Municipal",39.6250468531415,-0.591381136453448
"Nuevo Edificio Policia Local",39.634694,-0.59068
"Baños Árabes",39.6260913,-0.5924458
"Edificio Multiusos",39.6340809,-0.59135
"Mausoleos Romanos",39.62796,-0.595892
"Bajos del mercado (OA)",39.624719,-0.595293
"Villa Angeles",39.636126,-0.589515
"Ayuntamiento",39.625089,-0.594894
"Casa tapiada",39.623253,-0.598434
"Vivienda (servicios sociales)",39.6260188,-0.5927432
"Vivienda (servicios sociales)",39.625256,-0.596105
"Vivienda (servicios sociales)",39.623325,-0.598468
"Vivienda (servicios sociales)",39.626281,-0.593739
"Vivienda (servicios sociales)",39.6291756,-0.6026714
"Piso (servicios sociales)",39.651473,-0.571975
"Vivienda (servicios sociales)",39.628261,-0.601009
"Vivienda",39.624904,-0.593826
"Vivienda (servicios sociales)",39.6257489,-0.5971022
"Anulada Mapfre (serviciossociales)",39.625229,-0.596793
"la sangre. Casa tapiada",39.625686,-0.594147
"Muralla Medieval entorno de la sangre. Casa tapiada",39.625733,-0.594183
"Casa Tapiada",39.624524,-0.593928
"San Juan de Mata",39.626528,-0.593203
"San Juan de Mata",39.626534,-0.5932
"San Juan de Mata",,-0.592921
"San Miguel, Casa (Ruinosa)",39.6257907,-0.5982808
"Vivienda",39.6257907,-0.5982808
"Casa (Ruinosa tapiada)",39.6257907,-0.5982808
"Vivienda",39.6257907,-0.5982808
"Ruinas Romanas (Aparca Llíria)",39.627601,-0.595698
"Ruinas Romanas (Aparca Llíria)",39.627823,-0.595022
"Edificio SXVIII",39.625148,-0.595275
"Piso plaza mayor",39.6252859368623,-0.594987644762592
"Cementerio",39.6225081,-0.5912453
"Casa Tapiada",39.62465,-0.5983769
"Casa ruinosa Tapiada",39.623115,-0.596035
"Casa  Tapiada",39.6257372,-0.5935471
"Vivienda",39.6227446,-0.5950182
"San Juan de Mata",39.626457,-0.592892
"Solar",39.6257907,-0.5982808
"Casa (Ruinosa tapiada)",39.6257907,-0.5982808
"Edificio Timoneda",39.623265,-0.593537
"Edificio Timoneda",39.623265,-0.593537
"Chalet de San Vicente",39.650545,-0.577127
"Vivienda",39.628167,-0.595322
"Plaza de aparcamiento en Sotano 1º , nº 13",39.6249468232618,-0.593869253690194
"Plaza de aparcamiento enSotano 1º , nº 14",39.6249468232618,-0.593869253690194
"Vivienda Urbana, planta baja",39.631115,-0.595354
"Vivienda Urbana, piso bajo.",39.631115,-0.595354
"Almacén briga de obras",39.650307,-0.567101
"Almacén briga de jardínes",39.650307,-0.567101
"Almacén briga residuos urbanos",39.6344169,-0.5826271
"Escuela oficial de idiomas",39.635403,-0.589834
"Local y dos plazas 87 y 88",39.6234699,-0.5927977
"Vivienda",39.6300121,-0.6023102
"Plazas de garaje 22, 33, 34 y 36 y Local",39.633397,-0.593275
"Plazas de garaje",39.624061,-0.59167
"Mas de Moya",39.7281,-0.591919
"Paraje La closa, Falcona, Mitjana",39.621663,-0.589798
"Paraje La closa, Falcona, Mitjana",39.621663,-0.589798
"Planta baja",39.6335991,-0.5937702
"Plaza de garaje nº 22",39.6335991,-0.5937702
"Plaza de garaje nº 32",39.6335991,-0.5937702
"Plaza de garaje nº 33",39.6335991,-0.5937702
"Plaza de garaje nº 33",39.6335991,-0.5937702
"Parcela 1 de terreno con edificaciones en la antigua estación de Llíria (P.K 29/390 al 29/471) de 1874m2",39.622102,-0.59184
"Parcela 2 de terreno (P.K. 29/155 al 29/390) de 702m2",39.622102,-0.59184
"Parcela 3 de terreno (P.K. 29/107 al 29/155) de 204m2",39.625148,-0.595275
"Parcela 4 de terreno (P.K. 29/145 al 29/390) de 6.336m2",39.622102,-0.59184
"Parcela 5 de terreno (P.K. 29/037 al 29/107) de 1.035m2",39.6072802,-0.6034367